Obstacle Density,Mobility (m/s),Frequency (GHz),Transmit Power (dBm),Number of Antennas,Codebook Size,Bandwidth (MHz),Interference Level (dB),SIFT Keypoints,Beamforming Gain (dB),Latency (ms),Energy Consumption (kWh/Gb),Throughput (Mbps),Beam Training Time (s),SNR Improvement (dB),Processing Time (ms),Memory Usage (MB),Environment_Outdoor,Device Type_IoT Sensor,Device Type_Smartphone,Optimized
6,2.6122497038175343,60,34.66822753752122,64,32,50,-77.33662696224893,188,17.48864361287162,7.179168628673057,0.04849400533753112,193.6112088565723,0.16445191784303184,10.6063013063443,2.1398730629489826,333,False,False,False,0
1,1.3359157650079965,60,16.784149088475264,64,128,200,-57.341209387109984,454,14.084284910622014,4.749330050057788,0.028494224037386495,448.9359968179787,0.03249539987125427,17.690996301131328,2.55862365881273,326,True,False,True,0
9,1.5444520617890705,150,12.464573175560307,256,256,100,-70.93394901374734,215,12.540947494473677,6.8367432414178255,0.02650679776014165,303.4892742640229,0.1536536059421347,14.267229196383337,1.0025578434421396,298,False,False,True,0
1,1.0777001081992972,28,30.732855853143985,256,32,100,-96.05350724807938,451,19.31228205258838,3.784892238725349,0.020257760698527527,862.04979135706,0.028642586041097366,16.274245904694155,2.866643526880694,443,False,True,False,1
5,1.7788525543047822,28,27.666888341942496,512,64,50,-90.41643405848629,276,20.784861352798497,6.455820282492988,0.010402845393291327,377.7098478300253,0.09491399969281922,8.210000741541723,2.9462667344317532,355,False,True,False,0
4,0.4905716177550683,100,25.43047014694752,256,256,200,-76.2727824920722,113,18.542819180230488,5.713826468975649,0.020991610576871992,992.7041348283806,0.14946082661392487,15.747347949988631,4.452523663356256,306,True,True,False,0
3,1.1732446099552822,28,13.899521592473329,512,64,100,-81.92564250890939,356,21.07526915681792,1.2203223923187996,0.014375997018413359,134.7549450510258,0.042911492425511115,8.414158679626587,2.7941024315299297,493,False,True,False,0
6,2.9082369670058625,150,21.96240290639905,64,128,400,-82.06364902269506,308,12.122818036749402,8.116326133715024,0.036392833707735786,215.44909521630927,0.06427634788087737,19.809709733159913,2.4542251754706914,402,False,False,False,0
2,0.7744002981033826,100,29.513900672180345,64,256,200,-73.5366275928205,380,23.237052924147033,1.1070804902064006,0.02276299889282905,302.17489878619824,0.17430572849751758,13.39829234190106,4.978988205449854,189,False,False,False,0
3,1.9702099936238766,100,17.590598453596005,64,32,100,-70.78020392052713,427,18.735932626127546,3.638403480279716,0.04068717313614646,829.9954361801434,0.17817267097245276,15.434588870647055,3.284853298409985,454,True,False,False,1
